radius,ncity,ndp,nap,ndpdc_p,ndpac_p,ndc_p,nac_p,pp,psc,pdc,pac,alpha,beta,gamma,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.2,15,4,6,0.2,0.2,0.8,0.2,0.95,0.95,0.95,0.6,8,8,8,1,1,1,1,-2.99303438,FALSE,10273,1800.075061
0.2,9,8,2,1,1,0.2,0.8,0.6,0.95,0.95,0.6,8,-8,0,8,8,2,6,-1.0187608,FALSE,12658,1800.083429
0.2,15,4,2,0.2,1,0.8,0.8,0.6,0.6,0.95,0.95,1,-8,8,1,4,1,3,-1.670260447,TRUE,33259,73.11072406
0.3,12,6,4,0.6,0.6,0.5,0.5,0.775,0.775,0.775,0.775,4.5,0,4,4,4,2,2,-1.303707796,FALSE,12637,1800.099158
0.4,9,4,2,1,0.2,0.8,0.8,0.95,0.6,0.95,0.95,8,-8,8,4,1,3,1,-0.05530056,TRUE,743,0.600583718
0.4,9,4,6,0.2,0.2,0.8,0.2,0.6,0.6,0.6,0.95,8,8,8,1,1,1,1,-0.826733768,TRUE,12474,9.574296721
0.2,15,4,2,1,1,0.2,0.2,0.95,0.95,0.95,0.95,1,-8,0,4,4,1,1,-1.662691994,TRUE,33257,228.888438
0.2,9,4,6,1,0.2,0.2,0.8,0.95,0.95,0.95,0.6,1,-8,8,4,1,1,1,-0.529959085,TRUE,5896,13.55535279
0.4,9,4,2,1,1,0.2,0.2,0.6,0.6,0.6,0.6,1,-8,0,4,4,1,1,-0.578968733,TRUE,11582,26.05066536
0.2,15,8,6,0.2,1,0.2,0.2,0.6,0.6,0.6,0.6,1,-8,8,2,8,1,2,-3.193861678,FALSE,173,1807.986725
0.4,15,4,6,0.2,0.2,0.8,0.2,0.95,0.95,0.6,0.95,1,-8,0,1,1,1,1,-1.327774944,TRUE,10136,1768.530052
0.2,15,4,2,0.2,0.2,0.2,0.2,0.95,0.6,0.6,0.6,8,-8,0,1,1,1,1,-1.662943578,TRUE,33258,15.25703239
0.2,9,4,2,0.2,0.2,0.2,0.2,0.6,0.95,0.6,0.6,1,8,8,1,1,1,1,-0.912101483,TRUE,11588,2.67060232
0.2,15,4,6,0.2,0.2,0.8,0.2,0.95,0.95,0.95,0.6,8,8,8,1,1,1,1,-2.983037037,FALSE,10245,1800.077167
0.4,9,4,6,0.2,1,0.2,0.8,0.95,0.6,0.95,0.6,1,8,0,1,4,1,3,-1.870386675,TRUE,26260,67.19098912
0.4,9,4,6,1,0.2,0.2,0.8,0.95,0.95,0.6,0.95,8,8,0,4,1,1,1,-0.130412946,TRUE,1026,2.245579319
0.4,9,4,2,0.2,1,0.8,0.8,0.95,0.95,0.6,0.6,1,-8,8,1,4,1,3,-1.111158298,TRUE,20109,24.29979838
0.4,15,4,2,0.2,1,0.8,0.8,0.6,0.6,0.6,0.6,8,8,0,1,4,1,3,-1.635600618,TRUE,30514,61.9352865
0.4,15,8,6,1,1,0.8,0.8,0.95,0.95,0.95,0.95,8,8,8,8,8,6,6,-0.087827628,FALSE,14,1910.088919
0.4,15,4,2,1,0.2,0.8,0.8,0.6,0.95,0.95,0.95,1,8,0,4,1,3,1,-0.709061526,TRUE,13386,29.20481926
0.2,15,8,2,0.2,1,0.8,0.2,0.6,0.95,0.95,0.6,1,8,0,2,8,2,2,-1.642682812,TRUE,31846,502.1384324
0.2,15,8,2,0.2,1,0.8,0.2,0.6,0.95,0.95,0.6,1,8,0,2,8,2,2,-1.643208306,TRUE,31843,508.6959906
