NE,RLP,DBR,CCFR
-0.41348449969529405,-0.40792366820949005,-0.41000811125273345,-0.40755806442591447
-0.4172832585408296,-0.4094075501707666,-0.41203782543374057,-0.4100264330562184
-0.4117783248733213,-0.4061984473559133,-0.41007980878946537,-0.40738726209060777
-0.41086207111427525,-0.40249531635935887,-0.4059108212455562,-0.40366932412854895
-0.41315598535840276,-0.4052217266048676,-0.4073781941033792,-0.40509077053734427
-0.4157308218310204,-0.4100568517891722,-0.4122407312930184,-0.4097417470532224
-0.41429975741427816,-0.4045556927613468,-0.4068117702999987,-0.40460168112400513
-0.4076575319854826,-0.40068428294150404,-0.40462569743550136,-0.4019989672545877
-0.4155519864477428,-0.40831200954718344,-0.41058136478828894,-0.4077743977977732
-0.4086972757204361,-0.402955539123042,-0.4072160505635865,-0.40467563254335776
-0.4114570029161604,-0.40473536031279417,-0.4066972306196422,-0.4042421290892527
-0.4155142428273873,-0.405822681679679,-0.40919279181196627,-0.40682991202886576
-0.4146682178965825,-0.40778148560636096,-0.41083488234244303,-0.40877810411252574
-0.4106320468782247,-0.40412240439224345,-0.4061984040755347,-0.4035002243747143
-0.4126016170404031,-0.4059764202300775,-0.41016127181113426,-0.40783931033374127
-0.4167345670959223,-0.4095330232724934,-0.4123855037503429,-0.409821361742473
-0.4094792456896145,-0.40533736647140306,-0.4075962492892628,-0.4051260088603371
-0.41128427784992144,-0.4067060325777492,-0.4096388797105818,-0.40714083954602687
-0.41050481165289493,-0.40384020120427955,-0.4078223454000589,-0.4054953179794193
-0.40893048644251295,-0.4026661255803731,-0.40658956432680343,-0.4032710164754639
-0.41405042632354727,-0.4052399224033974,-0.40964046145843896,-0.40695032410004073
-0.41104897272769814,-0.4038166046092079,-0.40610652907336603,-0.4038472213377663
-0.41055794396830303,-0.4040616295191221,-0.40844592952224,-0.4061358275765799
-0.4092156379005827,-0.40258278273538606,-0.405961747169491,-0.4040107482288152
-0.4121159746952391,-0.40543445951880863,-0.40755622398650504,-0.40562800132422655
-0.41391981329258537,-0.40817744947659634,-0.40995144963490004,-0.40769188267628964
-0.41172521007311286,-0.40408888140935634,-0.40760068329506793,-0.40508585003638975
-0.41041094625574603,-0.40479371868777086,-0.40822236443441934,-0.4050232999650158
-0.40898808539542797,-0.40343060805915054,-0.4068835419086594,-0.4044967210476555
-0.41476978256492625,-0.4076276126801468,-0.4106303624178582,-0.40828705612593136
-0.41053613149435425,-0.40451633849925017,-0.4096034558810837,-0.40787153154813066
-0.41354250253750274,-0.4087214265937937,-0.4119586464526677,-0.4089666640892842
-0.41283003976300675,-0.4070926258617759,-0.4096556075501349,-0.407093598612135
-0.41385929645684555,-0.4077221424965194,-0.40963337651985343,-0.4072125233980542
-0.41696120255656643,-0.4112321004125321,-0.4127981823697994,-0.41011835984947304
-0.40823039818457846,-0.4011832543084327,-0.4031530458114624,-0.40016675266326723
-0.4110146103418739,-0.4038186177730072,-0.4072005062117162,-0.4047408282758708
-0.41281133427883177,-0.4047259460179012,-0.40714232066999567,-0.4049640815508285
-0.4110797584928178,-0.40656228276939077,-0.4098217912435345,-0.40710136756665954
-0.41525970740078616,-0.40898078761292256,-0.4118696783484526,-0.40917591033629386
-0.41193626294719005,-0.40567239114742876,-0.4089953113800715,-0.40644642652587964
-0.4124375362174402,-0.4068616483507121,-0.40961247503100745,-0.40684588289161966
-0.41395950203640547,-0.4077992791394867,-0.4118101992378139,-0.4092334011163307
-0.41299753466068,-0.40569087778985174,-0.4093305086010094,-0.40690794948505
-0.41088028097200613,-0.404929193588961,-0.40786756600119733,-0.40510616136873584
-0.41355956131987404,-0.4084558075950062,-0.4117289365077885,-0.4091438522631838
-0.4153349018196718,-0.40579634404551634,-0.40837320752505785,-0.40622517868275865
-0.4115723848769591,-0.40343059142710874,-0.4064833751774901,-0.4033298373592186
-0.41366198865716763,-0.40882665594538364,-0.4111095824844282,-0.4079167790466095
-0.4107208037254499,-0.4054096835563201,-0.4092708433158744,-0.40673084732789894
-0.4143483539475432,-0.40937489712738395,-0.41246660553165043,-0.40953595448750546
-0.4168934863029832,-0.4079684558231922,-0.4119669661705824,-0.40909289471151156
-0.41328493938208183,-0.4050575844863794,-0.40764522724562735,-0.4049047720698372
-0.41432545705859514,-0.40475660181864503,-0.4090595285742756,-0.40626393031635566
-0.4144079093074609,-0.40688444770949617,-0.4087778636196589,-0.4065953209980613
-0.41349899071810536,-0.4055888493603314,-0.41012026449384514,-0.4072788680774559
-0.4089073303743836,-0.4017646905707696,-0.4054167223373437,-0.4030474072587775
-0.41514071188799495,-0.4072527012167413,-0.410758724289587,-0.4077515922375122
-0.4138184280474679,-0.4064232168154074,-0.41006940862642294,-0.4073006951344397
-0.41455584685557606,-0.405956618188766,-0.4086117111065482,-0.4069788176695132
-0.4079804409097401,-0.4018848379010453,-0.40568927019335616,-0.40339292145721645
-0.41197968484437575,-0.40442916610740515,-0.40965930021304625,-0.4070813347741244
-0.40897838033514844,-0.40229556719120024,-0.40542138376487286,-0.4029338118048955
-0.4119848757560065,-0.4052625816446236,-0.40769273867144007,-0.4055453859717722
-0.40889886775102957,-0.402823593655582,-0.40630559309200875,-0.4037078269729668
-0.41278982669487435,-0.40459110270955045,-0.4074910394139311,-0.40499124936027114
-0.41430021663147987,-0.4053924772010492,-0.40929686967471185,-0.4064459750240401
-0.4134793778606277,-0.4060853281920942,-0.4083200492650621,-0.40573938446951363
-0.41583321399915646,-0.408065646770436,-0.41212259411303487,-0.40930180672514027
-0.41058607248364287,-0.4008195071580858,-0.4048070000607965,-0.40177644763999487
-0.41309033769120157,-0.40480767193305983,-0.4079223880796146,-0.40547089311259604
-0.41109824222570296,-0.40525742015403576,-0.40798244060813293,-0.4052355201869965
-0.4117554517925212,-0.40846308816315224,-0.41085844992969306,-0.4078313744710376
-0.40751705026678997,-0.39983720033095477,-0.40302632598502536,-0.4008376173675554
-0.4162131069328761,-0.4071174445477574,-0.4100064644742873,-0.4070004209361371
-0.4155493100802114,-0.407443869738044,-0.41115848355027296,-0.4082719893127891
-0.4151353135853097,-0.40990912225654536,-0.413556967459093,-0.41059124412477604
