pp,psc,pdc,alpha,beta,gamma,radius,pac,ncity,ndp,nap,ndpdc,ndpac,ndc,nac,utility,converged,iterations,time
0.7399876216,0.8009997251,0.8550750742,7.4661990742,-3.895908858,0.6159814396,0.3,0.2,13,6,4,6,6,3,3,-1.8798867152035943,false,5434,14402.391044792
0.6785298386,0.874138458,0.9410436825,4.5918621454,-6.922690572,5.2769343003,0.3,0.2,13,6,4,6,6,3,3,-1.8608651038691237,false,5570,14401.660535675
0.8165882186,0.912396789,0.8353503343,5.4606392995,-6.430147196,4.1263097939,0.3,0.2,13,6,4,6,6,3,3,-1.7874262098367246,false,5556,14401.473509986
0.6192370625,0.9348357753,0.7880523749,4.4284137476,-5.773718261,2.8353676451,0.3,0.2,13,6,4,6,6,3,3,-2.1156991848733466,false,5579,14401.188845238
0.6911810512,0.7622095747,0.6839984383,5.4974265778,0.7405626123,7.9933940013,0.3,0.2,13,6,4,6,6,3,3,-2.171364171416063,false,5395,14401.863814971
0.6497082781,0.9188525429,0.7134128287,4.8682126743,-5.352964725,7.3839900505,0.3,0.2,13,6,4,6,6,3,3,-2.1622179342060415,false,5597,14400.917269181
0.7295954917,0.9051916259,0.7834581637,6.1755571614,-2.827612781,6.7691760534,0.3,0.2,13,6,4,6,6,3,3,-1.9734050295034773,false,5525,14400.562944239
0.6349126281,0.9097847596,0.751077495,7.9495167094,1.9421068494,4.7385599697,0.3,0.2,13,6,4,6,6,3,3,-2.140727043714049,false,5365,14402.501233902
0.6387044205,0.9246853707,0.6358499897,3.2037627606,-2.723173459,4.8448539594,0.3,0.2,13,6,4,6,6,3,3,-2.264505949769371,false,5575,14400.812432798
0.7838013703,0.9365274796,0.6830067811,2.2882947734,-7.424727586,5.8619449664,0.3,0.2,13,6,4,6,6,3,3,-2.03502549176413,false,5581,14400.719403786
0.6416810162,0.8434032128,0.7568357458,1.841931737,-1.278607031,7.5586997571,0.3,0.2,13,6,4,6,6,3,3,-2.135240665173642,false,5525,14402.077094402
0.6964997669,0.7909312585,0.6029592381,6.5665193093,6.1898622392,3.8207535183,0.3,0.2,13,6,4,6,6,3,3,-2.261836751665611,false,5408,14400.564186968
0.7610583195,0.7827931198,0.6539088477,6.3367760051,2.2889050424,5.1316639344,0.3,0.2,13,6,4,6,6,3,3,-2.1236905386819447,false,5403,14402.179898981
0.6523142152,0.6194545101,0.6145428625,5.811287754,3.5689478171,7.8058019968,0.3,0.2,13,6,4,6,6,3,3,-2.33385370915207,false,5367,14402.450437994
0.6340037089,0.8386760727,0.6947314527,6.3292991805,6.6721572863,0.8220921984,0.3,0.2,13,6,4,6,6,3,3,-2.2166225671204445,false,5374,14400.826776124
0.6228897381,0.8562804829,0.7426910357,4.8371162341,3.5538389541,2.2843141845,0.3,0.2,13,6,4,6,6,3,3,-2.1741347875131636,false,5444,14402.427445236
0.6715268373,0.8140194003,0.8064121711,7.7243679729,2.5346808021,0.3864807346,0.3,0.2,13,6,4,6,6,3,3,-2.039515086985226,false,5421,14401.725400254
0.7133700209,0.6113469879,0.685947937,5.6754634998,5.0837435029,0.5001900665,0.3,0.2,13,6,4,6,6,3,3,-2.176760904083625,false,5410,14401.630300846
0.624647466,0.722213122,0.9278346695,6.9495163927,7.7469822643,3.1401762002,0.3,0.2,13,6,4,6,6,3,3,-1.9982087911269948,false,5304,14401.47170809
0.7559708067,0.6008926817,0.8854860962,5.3574180853,3.9502851687,3.4972904503,0.3,0.2,13,6,4,6,6,3,3,-1.8638447298796132,false,5446,14400.984626198
0.6934422388,0.6426629454,0.8571628807,3.8208818577,5.4357556695,2.7684941716,0.3,0.2,13,6,4,6,6,3,3,-1.9825882931387062,false,5361,14400.92459911
0.603446255,0.6200193094,0.7346031154,6.7977301178,-1.361178339,1.3662768268,0.3,0.2,13,6,4,6,6,3,3,-2.2584854057778903,false,5425,14400.826419768
0.6653246877,0.7917277255,0.9493226696,7.290163727,-0.2984969,2.4003198097,0.3,0.2,13,6,4,6,6,3,3,-1.8855561639726273,false,5455,14400.310340439
0.7927782834,0.6383759102,0.8477757457,5.7942053861,7.7114896703,0.7064342252,0.3,0.2,13,6,4,6,6,3,3,-1.8422665180876419,false,5459,14400.447714416
0.9372903051,0.7314693651,0.8214014636,6.4142425515,4.2788659635,1.8701238039,0.3,0.2,13,6,4,6,6,3,3,-1.6498428309826176,false,5469,14400.106689597
0.6094285082,0.6496307562,0.8470385606,4.8123234054,6.131258975,4.9327595479,0.3,0.2,13,6,4,6,6,3,3,-2.1247666120881177,false,5368,14401.393091786
0.6472203662,0.6059779996,0.7520585091,5.0625439403,2.407478377,6.0841452445,0.3,0.2,13,6,4,6,6,3,3,-2.1789277657569377,false,5405,14402.220884017
0.642185279,0.7097445384,0.8137651249,6.0417916397,-7.501280095,7.7117945313,0.3,0.2,13,6,4,6,6,3,3,-2.097190845553675,false,5403,14401.862572241
0.6731887247,0.6730956998,0.7687251465,7.5400524791,-4.477277516,4.2793685199,0.3,0.2,13,6,4,6,6,3,3,-2.1135967024935085,false,5407,14402.352750078
0.6876478278,0.7180061488,0.8718459398,7.7025720304,-3.070108081,6.3598908597,0.3,0.2,13,6,4,6,6,3,3,-1.9580188970378958,false,5360,14401.519865816
