alpha,beta,gamma,lambda_max,lambda_scale,utility,ulb,uub,exploitability,exploitation,status,iter,time
4,-8,8,2000,1,-0.40779770935525916,-0.4125500474425542,-0.4073985539096395,0.032377565024616674,0.012663573738653984,false,7882,1200.299937925
1,-8,4,2000,8,-0.43732854556217193,-0.41223249581180726,-0.43685218170018875,0.017997979188649822,-0.0597288675605937,false,8116,1200.537535657
4,-8,8,1000,1,-0.40788363276609735,-0.41249652575902024,-0.40749506140999386,0.03314867022725911,0.012252514794352897,false,7325,1200.520348441
1,8,0,1000,1,-0.4094113708843784,-0.41250312200802614,-0.408970468698088,0.14297138283304542,0.008748980351215817,false,7169,1200.937413477
8,-8,0,2000,4,-0.41133961592069807,-0.41250197181796844,-0.4108930293957907,0.0605726806656235,0.003977350542249725,false,7486,1200.725772694
8,8,8,10,1,-0.408751293207936,-0.41244811275529986,-0.40835906721628534,0.024272782312226564,0.010114407672805826,false,7764,1200.601885076
1,1,8,1000,8,-0.4058914150068428,-0.41232991020233417,-0.4054539290358534,0.043107496262092225,0.016754934462742763,false,7616,1200.586397943
8,1,0,10,8,-0.4111687195689105,-0.41245704480117906,-0.4107530640257246,0.024231806639176564,0.0043185455492538395,false,8347,1200.575440806
1,1,4,1000,8,-0.4058965538136802,-0.41204503080462246,-0.4054506945921565,0.06281495747312608,0.01609252494727857,false,8010,1200.500424918
4,1,0,10,1,-0.4113966283010319,-0.41237958961215904,-0.4110049498650038,0.031209647836006934,0.0035073707928084904,false,7892,1200.74079878
1,-8,8,1000,1,-0.4093383808464278,-0.4127547547669796,-0.40896243856180475,0.03522790923162106,0.009409377685856283,false,7778,1200.72529851
1,-8,8,10,4,-0.4114316144878727,-0.41197579277797397,-0.4110265489339872,0.027167567383600016,0.002555092359359454,false,7558,1200.621755228
8,1,0,1000,1,-0.409848981871887,-0.41235762160513717,-0.4094327620991082,0.07621617044642148,0.007325870201182294,false,7697,1200.619760781
